id,month,day,year,description,amount,category,account,debit_or_credit,original_description,note,p_guid
0000014572407fba2b6338330010003200ab00a6,3,7,2014,Fastfunevents Com,18.38,Amusement,CREDIT CARD,debit,,,
0000014572407fbbe416da9c0010003200ab00a6,3,6,2014,Online Creditonline Utah 196 Nw State Road,792,Income,Free Checking,credit,,,
0000014572407fbbe416da9d0010003200ab00a6,3,6,2014,Gold's Gym,27.78,Gym,CREDIT CARD,debit,,,
0000014572407fbbe416da9e0010003200ab00a6,3,6,2014,Chevron,41.87,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fbbe416da9f0010003200ab00a6,3,4,2014,Online Creditonline Utah 196 Nw State Road,186.45,Income,REGULAR SHARE,credit,,,
0000014572407fbbe416daa00010003200ab00a6,3,4,2014,Wal-Mart,49.73,Shopping,Discover :,debit,,0000014572407fbc9b30f2de0010003200ab00a6,
0000014572407fbbe416daa10010003200ab00a6,3,4,2014,Chevron,47.44,Gas & Fuel,Discover :,debit,,,
0000014572407fbbe416daa20010003200ab00a6,3,3,2014,American Fork Di,13,Clothing,Discover :,debit,,,
0000014572407fbbe416daa30010003200ab00a6,3,3,2014,Fresh Mkt Am,19.89,Groceries,CREDIT CARD,debit,,0000014572407fbc9b30f2de0010003200ab00a6,
0000014572407fbc9b30f2d90010003200ab00a6,3,3,2014,Fedloanservicingach Transactionautomatic,0.25,Student Loan,SHARE DRAFT NO MIN,debit,,,
0000014572407fbc9b30f2da0010003200ab00a6,3,3,2014,Venmoautomatic,100,Mobile Phone,SHARE DRAFT NO MIN,debit,,,
0000014572407fbc9b30f2db0010003200ab00a6,3,3,2014,Venmoautomatic,8,Restaurants,SHARE DRAFT NO MIN,debit,,,
0000014572407fbc9b30f2dc0010003200ab00a6,3,3,2014,Netflix,7.99,Movies & DVDs,SHARE DRAFT NO MIN,debit,,,
0000014572407fbc9b30f2dd0010003200ab00a6,3,3,2014,Chaseautomatic,230,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fbc9b30f2de0010003200ab00a6,3,2,2014,Fresh Mkt Am,13.07,Groceries,CREDIT CARD,debit,,,
0000014572407fbc9b30f2df0010003200ab00a6,2,28,2014,Transfer from SHARE DRAFT NO MIN,230,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fbc9b30f2e00010003200ab00a6,2,28,2014,Zerochaos Payropayroll Deduction,826.81,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fbc9b30f2e10010003200ab00a6,2,28,2014,Total Bond Mkt Index Inv - Dividend,0.61,Dividend & Cap Gains,Vanguard Account,credit,,,
0000014572407fbd11dba8050010003200ab00a6,2,25,2014,Payrollpayroll Crown H,1614.78,Paycheck,REGULAR SHARE,credit,,,
0000014572407fbd11dba8060010003200ab00a6,2,25,2014,Check# 1140check# 1140 #1140,1002.27,Andrea Tithing,Free Checking,debit,,,
0000014572407fbd11dba8070010003200ab00a6,2,24,2014,Fedloanservicingach Transactionautomatic,684.94,Student Loan,SHARE DRAFT NO MIN,debit,,,
0000014572407fbd11dba8080010003200ab00a6,2,24,2014,Chaseautomatic,227.46,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fbd11dba8090010003200ab00a6,2,23,2014,Peak Ent Associate,40,Doctor,CREDIT CARD,debit,,,
0000014572407fbd11dba80a0010003200ab00a6,2,23,2014,Sizzler,21.55,Restaurants,CREDIT CARD,debit,,,
0000014572407fbd11dba80b0010003200ab00a6,2,23,2014,City,74.29,Utilities,CREDIT CARD,debit,,,
0000014572407fbd11dba80c0010003200ab00a6,2,23,2014,City,94.16,Utilities,CREDIT CARD,debit,,,
0000014572407fbec252a3de0010003200ab00a6,2,21,2014,Transfer from SHARE DRAFT NO MIN,227.46,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fbec252a3df0010003200ab00a6,2,21,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fbec252a3e00010003200ab00a6,2,21,2014,Payment,684.94,Loan Payment,Direct Sub Stafford Loan,credit,,,
0000014572407fbec252a3e10010003200ab00a6,2,20,2014,Chevron,41.07,Gas & Fuel,Discover :,debit,,,
0000014572407fbec252a3e20010003200ab00a6,2,20,2014,Ihc Idxautomatic,11,Doctor,SHARE DRAFT NO MIN,debit,,,
0000014572407fbec252a3e30010003200ab00a6,2,19,2014,Check 1127,615.46,Marc Tithing,SHARE DRAFT NO MIN,debit,,,
0000014572407fbec252a3e40010003200ab00a6,2,19,2014,Transfer to Free Checking,1000,Transfer,REGULAR SHARE,debit,,,
0000014572407fbec252a3e50010003200ab00a6,2,19,2014,Transfer from REGULAR SHARE,1000,Transfer,Free Checking,credit,,,
0000014572407fbec252a3e60010003200ab00a6,2,19,2014,Buffalo Wild Wings,23.32,Restaurants,CREDIT CARD,debit,,,
0000014572407fbf65d99df40010003200ab00a6,2,19,2014,Holiday Oil,2.11,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fbf65d99df50010003200ab00a6,2,19,2014,Rockymtn Pacificautomatic,29.17,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fbf65d99df60010003200ab00a6,2,19,2014,Fedloanservicingach Transactionautomatic,750.27,Student Loan,SHARE DRAFT NO MIN,debit,,,
0000014572407fbf65d99df70010003200ab00a6,2,18,2014,Target,6.07,Shopping,Discover :,debit,,,
0000014572407fbf65d99df80010003200ab00a6,2,17,2014,Payment,750,Loan Payment,Direct Sub Stafford Loan,credit,,,
0000014572407fbf65d99df90010003200ab00a6,2,16,2014,Chipotle,7.17,Fast Food,CREDIT CARD,debit,,,
0000014572407fbf65d99dfa0010003200ab00a6,2,16,2014,Wal-Mart,4.55,Shopping,CREDIT CARD,debit,,,
0000014572407fbf65d99dfb0010003200ab00a6,2,16,2014,Smith's Food,5.76,Groceries,CREDIT CARD,debit,,,
0000014572407fc17c613fbe0010003200ab00a6,2,14,2014,Zerochaos Payropayroll Deduction,1050.49,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc17c613fbf0010003200ab00a6,2,13,2014,Venmo Cashopayroll Deduction,12.5,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc17c613fc00010003200ab00a6,2,13,2014,Chevron,39.92,Gas & Fuel,Discover :,debit,,,
0000014572407fc17c613fc10010003200ab00a6,2,13,2014,Cinemark,25,Movies & DVDs,CREDIT CARD,debit,,,
0000014572407fc17c613fc20010003200ab00a6,2,12,2014,Bear River Mutuainsurance,22.84,Auto Insurance,SHARE DRAFT NO MIN,debit,,,
0000014572407fc17c613fc30010003200ab00a6,2,12,2014,Sushi House Llc,15.03,Restaurants,CREDIT CARD,debit,,,
0000014572407fc17c613fc40010003200ab00a6,2,12,2014,Loan Pmtloan Roundpoint,2354.78,Mortgage & Rent,Free Checking,debit,,,
0000014572407fc17c613fc50010003200ab00a6,2,12,2014,E Paymente Discover,407.16,Credit Card Payment,Free Checking,debit,,,
0000014572407fc2f0fd5a960010003200ab00a6,2,11,2014,Fedloanservicingach Transactionautomatic,369.39,Student Loan,SHARE DRAFT NO MIN,debit,,,
0000014572407fc2f0fd5a970010003200ab00a6,2,11,2014,Transfer from Free Checking,407.16,Credit Card Payment,Discover :,credit,,,
0000014572407fc2f0fd5a980010003200ab00a6,2,11,2014,Chevron,47.8,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fc2f0fd5a990010003200ab00a6,2,11,2014,IHOP,5,Restaurants,CREDIT CARD,debit,,,
0000014572407fc2f0fd5a9a0010003200ab00a6,2,10,2014,Transfer to Free Checking,2500,Transfer,REGULAR SHARE,debit,,,
0000014572407fc2f0fd5a9b0010003200ab00a6,2,10,2014,Transfer from REGULAR SHARE,2500,Transfer,Free Checking,credit,,,
0000014572407fc2f0fd5a9c0010003200ab00a6,2,10,2014,Chaseautomatic,154.58,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fc2f0fd5a9d0010003200ab00a6,2,10,2014,Questar Gas,82.99,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fc2f0fd5a9e0010003200ab00a6,2,10,2014,Payrollpayroll Crown H,1644.02,Paycheck,REGULAR SHARE,credit,,,
0000014572407fc2f0fd5a9f0010003200ab00a6,2,10,2014,WinCo Foods,91.43,Groceries,Free Checking,debit,,,
0000014572407fc3d54be91f0010003200ab00a6,2,9,2014,Selecthealth,91.72,Health Insurance,CREDIT CARD,debit,,,
0000014572407fc3d54be9200010003200ab00a6,2,8,2014,American Fork Di,2.25,Furnishings,Discover :,debit,,,
0000014572407fc3d54be9210010003200ab00a6,2,8,2014,Fresh Mkt Am,13.76,Groceries,Discover :,debit,,,
0000014572407fc3d54be9220010003200ab00a6,2,8,2014,Costco,116.29,Groceries,Free Checking,debit,,,
0000014572407fc3d54be9230010003200ab00a6,2,8,2014,Online Creditonline Utah 196 Nw State Road,83.6,Income,Free Checking,credit,,,
0000014572407fc3d54be9240010003200ab00a6,2,8,2014,Online Creditonline Utah 196 Nw State Road,185.55,Income,Free Checking,credit,,,
0000014572407fc3d54be9250010003200ab00a6,2,7,2014,Good Earth,14.99,Restaurants,Discover :,debit,,,
0000014572407fc3d54be9260010003200ab00a6,2,7,2014,Transfer from SHARE DRAFT NO MIN,154.58,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fc3d54be9270010003200ab00a6,2,7,2014,Questar Gas,82.99,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fc3d54be9280010003200ab00a6,2,7,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc478602e710010003200ab00a6,2,7,2014,Payment,369.39,Loan Payment,Direct Unsub Stafford Loan,credit,,,
0000014572407fc478602e720010003200ab00a6,2,6,2014,Gold's Gym,27.78,Gym,CREDIT CARD,debit,,,
0000014572407fc478602e730010003200ab00a6,2,6,2014,Fresh Mkt Am,9.77,Groceries,CREDIT CARD,debit,,,
0000014572407fc478602e740010003200ab00a6,2,5,2014,UPS,9.76,Shipping,Discover :,debit,,,
0000014572407fc478602e750010003200ab00a6,2,5,2014,Fresh Mkt Am,18.29,Groceries,CREDIT CARD,debit,,,
0000014572407fc478602e760010003200ab00a6,2,5,2014,Home Depot,65.08,Home Improvement,CREDIT CARD,debit,,,
0000014572407fc478602e770010003200ab00a6,2,4,2014,Fedloanservicingach Transactionautomatic,1104.31,Student Loan,SHARE DRAFT NO MIN,debit,,0000014572407fc2f0fd5a9d0010003200ab00a6,
0000014572407fc478602e780010003200ab00a6,2,3,2014,Home Depot,10.66,Home Improvement,CREDIT CARD,debit,,,
0000014572407fc478602e790010003200ab00a6,2,3,2014,Texas Roadhouse,15,Restaurants,CREDIT CARD,debit,,,
0000014572407fc5e6045ed00010003200ab00a6,2,3,2014,Transfer to CREDIT CARD,704.6,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fc5e6045ed10010003200ab00a6,2,3,2014,Netflix,7.99,Movies & DVDs,SHARE DRAFT NO MIN,debit,,,
0000014572407fc5e6045ed20010003200ab00a6,2,3,2014,Payment,1104.31,Loan Payment,Direct Unsub Stafford Loan,credit,,,
0000014572407fc5e6045ed30010003200ab00a6,2,2,2014,Transfer from SHARE DRAFT NO MIN,704.6,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fc5e6045ed40010003200ab00a6,2,2,2014,North Pointe Swssd,8,Utilities,CREDIT CARD,debit,,,
0000014572407fc5e6045ed50010003200ab00a6,2,1,2014,Holiday Oil,38.5,Gas & Fuel,Discover :,debit,,,
0000014572407fc5e6045ed60010003200ab00a6,2,1,2014,Online Creditonline Utah 196 Nw State Road,411.1,Income,REGULAR SHARE,credit,,,
0000014572407fc5e6045ed70010003200ab00a6,2,1,2014,Online Creditonline Utah 196 Nw State Road,800,Income,REGULAR SHARE,credit,,,
0000014572407fc5e6045ed80010003200ab00a6,1,31,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc6ebaecedb0010003200ab00a6,1,31,2014,Total Bond Mkt Index Inv - Dividend,0.66,Dividend & Cap Gains,Vanguard Account,credit,,,
0000014572407fc6ebaecedc0010003200ab00a6,1,30,2014,Home Depot,704.6,Home Improvement,CREDIT CARD,debit,,,
0000014572407fc6ebaecedd0010003200ab00a6,1,27,2014,Remedez Hair Spa,120.92,Hair,Discover :,debit,,,
0000014572407fc6ebaecede0010003200ab00a6,1,27,2014,Chaseautomatic,222.57,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fc6ebaecedf0010003200ab00a6,1,25,2014,Macy's,15.88,Clothing,Discover :,debit,,,
0000014572407fc6ebaecee00010003200ab00a6,1,24,2014,Red Robin,27.14,Restaurants,Discover :,debit,,,
0000014572407fc6ebaecee10010003200ab00a6,1,24,2014,Transfer from SHARE DRAFT NO MIN,222.57,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fc6ebaecee20010003200ab00a6,1,24,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc6ebaecee30010003200ab00a6,1,24,2014,Payrollpayroll Crown H,1194.37,Paycheck,REGULAR SHARE,credit,,,
0000014572407fc6ebaecee40010003200ab00a6,1,23,2014,Dal Soglio,38.99,Gas & Fuel,Discover :,debit,,,
0000014572407fc6ebaecee50010003200ab00a6,1,23,2014,Del Taco,4.42,Fast Food,CREDIT CARD,debit,,,
0000014572407fc72b1e82310010003200ab00a6,1,23,2014,Check# 1139check# 1139 #1139,10,Service Fee,Free Checking,debit,,,
0000014572407fc72b1e82320010003200ab00a6,1,22,2014,Check 1126,344.83,Marc Tithing,SHARE DRAFT NO MIN,debit,,,
0000014572407fc72b1e82330010003200ab00a6,1,22,2014,Fedloanservicingach Transactionautomatic,562.92,Student Loan,SHARE DRAFT NO MIN,debit,,,
0000014572407fc8576b8a3c0010003200ab00a6,1,22,2014,City,74.29,Utilities,CREDIT CARD,debit,,,
0000014572407fc8576b8a3d0010003200ab00a6,1,22,2014,City,97.93,Utilities,CREDIT CARD,debit,,,
0000014572407fc8576b8a3e0010003200ab00a6,1,21,2014,WinCo Foods,40.32,Groceries,Free Checking,debit,,,
0000014572407fc8576b8a3f0010003200ab00a6,1,21,2014,Chaseautomatic,66.52,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fc8576b8a400010003200ab00a6,1,19,2014,Chevron,45.93,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fc8576b8a410010003200ab00a6,1,17,2014,Transfer from SHARE DRAFT NO MIN,66.52,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fc8576b8a420010003200ab00a6,1,17,2014,Transfer to Free Checking,1000,Transfer,REGULAR SHARE,debit,,,
0000014572407fc8576b8a430010003200ab00a6,1,17,2014,Transfer from REGULAR SHARE,1000,Transfer,Free Checking,credit,,,
0000014572407fc8576b8a440010003200ab00a6,1,17,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fc8576b8a450010003200ab00a6,1,17,2014,Payment,550,Loan Payment,Direct Unsub Stafford Loan,credit,,,
0000014572407fc9f36f904f0010003200ab00a6,1,16,2014,Amazon,4.18,Home Improvement,CREDIT CARD,debit,,,
0000014572407fc9f36f90500010003200ab00a6,1,15,2014,Cafe Rio Orem,6.74,Restaurants,Discover :,debit,,,
0000014572407fc9f36f90510010003200ab00a6,1,15,2014,Cp Cp,18,Service Fee,Free Checking,debit,,,
0000014572407fc9f36f90520010003200ab00a6,1,15,2014,Loan Pmtloan Roundpoint,2354.78,Mortgage & Rent,Free Checking,debit,,,
0000014572407fc9f36f90530010003200ab00a6,1,14,2014,Rockymtn Pacificautomatic,77,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fc9f36f90540010003200ab00a6,1,14,2014,Rockymtn Pacificautomatic,52.81,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fc9f36f90550010003200ab00a6,1,14,2014,Stdnt Loanstdnt Loan 21474 Fedloanservicing Street,4785.21,Student Loan,Free Checking,debit,,,
0000014572407fc9f36f90560010003200ab00a6,1,13,2014,Transfer to Free Checking,2000,Transfer,REGULAR SHARE,debit,,,
0000014572407fc9f36f90570010003200ab00a6,1,13,2014,Check# 1135check# 1135 #1135,1177.39,Mortgage & Rent,Free Checking,debit,,,
0000014572407fc9f36f90580010003200ab00a6,1,13,2014,Transfer from REGULAR SHARE,2000,Transfer,Free Checking,credit,,,
0000014572407fc9f36f90590010003200ab00a6,1,13,2014,Cinemark,6,Movies & DVDs,CREDIT CARD,debit,,,
0000014572407fc9f36f905a0010003200ab00a6,1,13,2014,7-Eleven,38.45,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fca23fcaae10010003200ab00a6,1,13,2014,Laser Assault,16,Amusement,CREDIT CARD,debit,,,
0000014572407fca23fcaae20010003200ab00a6,1,13,2014,Transfer to CREDIT CARD,186.47,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fca23fcaae30010003200ab00a6,1,13,2014,Internet Transfer Transfer,50,Mobile Phone,SHARE DRAFT NO MIN,debit,,,
0000014572407fca23fcaae40010003200ab00a6,1,13,2014,Bear River Mutuainsurance,22.84,Auto Insurance,SHARE DRAFT NO MIN,debit,,,
0000014572407fca23fcaae50010003200ab00a6,1,13,2014,Transfer to Discover :,406.19,Credit Card Payment,Free Checking,debit,,,
0000014572407fca23fcaae60010003200ab00a6,1,12,2014,Byu Wall,1.89,Restaurants,CREDIT CARD,debit,,,
0000014572407fca23fcaae70010003200ab00a6,1,10,2014,Transfer to Free Checking,1000,Transfer,REGULAR SHARE,debit,,,
0000014572407fca23fcaae80010003200ab00a6,1,10,2014,Transfer to Free Checking,500,Transfer,REGULAR SHARE,debit,,,
0000014572407fca23fcaae90010003200ab00a6,1,10,2014,Transfer to Free Checking,3000,Transfer,REGULAR SHARE,debit,,,
0000014572407fcb806ee2dc0010003200ab00a6,1,10,2014,Transfer from REGULAR SHARE,3000,Transfer,Free Checking,credit,,,
0000014572407fcb806ee2dd0010003200ab00a6,1,10,2014,Transfer from REGULAR SHARE,1000,Transfer,Free Checking,credit,,,
0000014572407fcb806ee2de0010003200ab00a6,1,10,2014,Transfer from REGULAR SHARE,500,Transfer,Free Checking,credit,,,
0000014572407fcb806ee2df0010003200ab00a6,1,10,2014,Transfer from SHARE DRAFT NO MIN,186.47,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fcb806ee2e00010003200ab00a6,1,10,2014,Transfer from Free Checking,406.19,Credit Card Payment,Discover :,credit,,,
0000014572407fcb806ee2e10010003200ab00a6,1,10,2014,Payrollpayroll Crown H,1575.82,Paycheck,REGULAR SHARE,credit,,,
0000014572407fcb806ee2e20010003200ab00a6,1,10,2014,Zerochaos Payropayroll Deduction,448.5,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fcb806ee2e30010003200ab00a6,1,10,2014,Payment,783.27,Loan Payment,Direct Sub Stafford Loan,credit,,,
0000014572407fcb806ee2e40010003200ab00a6,1,10,2014,Payment,2001.83,Loan Payment,Direct Unsub Stafford Loan,credit,,,
0000014572407fcb806ee2e50010003200ab00a6,1,10,2014,Payment,2000.11,Loan Payment,Federal Unsub Stafford Loan,credit,,,
0000014572407fcb806ee2e60010003200ab00a6,1,9,2014,Questar Gas,84.07,Utilities,Free Checking,debit,,,
0000014572407fcb806ee2e70010003200ab00a6,1,8,2014,Pizza Factory,8.47,Restaurants,CREDIT CARD,debit,,,
0000014572407fccc44f07040010003200ab00a6,1,8,2014,Auto Air Vacuum,1.25,Service & Parts,CREDIT CARD,debit,,,
0000014572407fccc44f07050010003200ab00a6,1,8,2014,Auto Air Vacuum,1.25,Service & Parts,CREDIT CARD,debit,,,
0000014572407fccc44f07060010003200ab00a6,1,8,2014,Auto Air Vacuum,1.25,Service & Parts,CREDIT CARD,debit,,,
0000014572407fccc44f07070010003200ab00a6,1,7,2014,Cafe Zupas Provo,5.38,Restaurants,Discover :,debit,,,
0000014572407fccc44f07080010003200ab00a6,1,7,2014,Gold's Gym,43.81,Gym,CREDIT CARD,debit,,,
0000014572407fccc44f07090010003200ab00a6,1,6,2014,Gold's Gym,16.03,Gym,Discover :,debit,,,
0000014572407fccc44f070a0010003200ab00a6,1,6,2014,Chevron,31.28,Gas & Fuel,Discover :,debit,,,
0000014572407fccc44f070b0010003200ab00a6,1,6,2014,Costco,79.96,Groceries,Free Checking,debit,,,
0000014572407fccc44f070c0010003200ab00a6,1,6,2014,Online Creditonline Utah 196 Nw State Road,100,Income,Free Checking,credit,,,
0000014572407fccc44f070d0010003200ab00a6,1,6,2014,Olive Garden,5.5,Restaurants,CREDIT CARD,debit,,,
0000014572407fccc44f070e0010003200ab00a6,1,6,2014,7-Eleven,2.06,Fast Food,CREDIT CARD,debit,,,
0000014572407fccc44f070f0010003200ab00a6,1,5,2014,Cafe Rio,18.53,Restaurants,CREDIT CARD,debit,,,
0000014572407fccc44f07100010003200ab00a6,1,5,2014,Home Depot,0.98,Home Improvement,CREDIT CARD,debit,,,
0000014572407fcd6be345b80010003200ab00a6,1,5,2014,North Pointe Swssd,8,Utilities,CREDIT CARD,debit,,,
0000014572407fcd6be345b90010003200ab00a6,1,5,2014,Brigham Young Univ,3,Arts,CREDIT CARD,debit,,,
0000014572407fcd6be345ba0010003200ab00a6,1,5,2014,Cafe Zupas,8.61,Restaurants,CREDIT CARD,debit,,,
0000014572407fcd6be345bb0010003200ab00a6,1,5,2014,Brigham Young Univ,3,Arts,CREDIT CARD,debit,,,
0000014572407fcd6be345bc0010003200ab00a6,1,3,2014,Steam Games,7.49,Entertainment,CREDIT CARD,debit,,,
0000014572407fcd6be345bd0010003200ab00a6,1,3,2014,Lowe's,36.76,Home Improvement,CREDIT CARD,credit,,,
0000014572407fcd6be345be0010003200ab00a6,1,2,2014,Netflix,7.99,Movies & DVDs,SHARE DRAFT NO MIN,debit,,,
0000014572407fcd6be345bf0010003200ab00a6,1,2,2014,Target,15.05,Shopping,CREDIT CARD,debit,,,
0000014572407fcd6be345c00010003200ab00a6,1,1,2014,Online Creditonline Utah 196 Nw State Road,70.6,Income,REGULAR SHARE,credit,,,
