Month,Day,Year,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
3,6,2014,Gold's Gym,PAC*GOLD'S GYM,27.78,debit,Gym,CREDIT CARD,,
3,6,2014,Chevron,CHEVRON 00203362,41.87,debit,Gas & Fuel,CREDIT CARD,,
3,4,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #824221  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 03-04-2014 @ 15:38 Trace #030415384100007041 0305",186.45,credit,Income,REGULAR SHARE,,
3,4,2014,Wal-Mart,WAL-MART SC - #2511 AMERICAN FORKUT,49.73,debit,Shopping,Discover :,,
3,4,2014,Chevron,0203362 CHEVRON 0203 AMERICAN FORKUT C_GASOLINE,47.44,debit,Gas & Fuel,Discover :,,
3,3,2014,American Fork Di,AMERICAN FORK DI AMERICAN FORKUT00328R C_SERVICES,13,debit,Clothing,Discover :,,
3,3,2014,Fresh Mkt Am,FRESH MKT AM FORK,19.89,debit,Groceries,CREDIT CARD,,
3,3,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,0.25,debit,Student Loan,SHARE DRAFT NO MIN,,
3,3,2014,Venmoautomatic,VENMOAutomatic Debit,100,debit,Mobile Phone,SHARE DRAFT NO MIN,,
3,3,2014,Venmoautomatic,VENMOAutomatic Debit,8,debit,Restaurants,SHARE DRAFT NO MIN,,
3,3,2014,Netflix,NETFLIX.COM            NETFLIX.CElectronic Transaction,7.99,debit,Movies & DVDs,SHARE DRAFT NO MIN,,
3,3,2014,Chaseautomatic,CHASEAutomatic Debit,230,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
3,2,2014,Fresh Mkt Am,FRESH MKT AM FORK,13.07,debit,Groceries,CREDIT CARD,,
2,28,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,230,credit,Credit Card Payment,CREDIT CARD,,
2,28,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,826.81,credit,Paycheck,SHARE DRAFT NO MIN,,
2,28,2014,Total Bond Mkt Index Inv - Dividend,Total Bond Mkt Index Inv - Dividend,0.61,credit,Dividend & Cap Gains,Vanguard Account,,
2,25,2014,Payrollpayroll Crown H,"PAYROLLPAYROLL #23348  CROWN H.C.         PAYROLL, 02-25-2014 @   : 0 Trace #091000010982033",1614.78,credit,Paycheck,REGULAR SHARE,,
2,25,2014,Check# 1140check# 1140 #1140,Check# 1140Check# 1140 #1140,1002.27,debit,Andrea Tithing,Free Checking,,
2,24,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,684.94,debit,Student Loan,SHARE DRAFT NO MIN,,
2,24,2014,Chaseautomatic,CHASEAutomatic Debit,227.46,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
2,23,2014,Peak Ent Associate,PEAK ENT ASSOCIATE,40,debit,Doctor,CREDIT CARD,,
2,23,2014,Sizzler,SIZZLER 431,21.55,debit,Restaurants,CREDIT CARD,,
2,23,2014,City,AMERICAN FORK CITY,74.29,debit,Utilities,CREDIT CARD,,
2,23,2014,City,AMERICAN FORK CITY,94.16,debit,Utilities,CREDIT CARD,,
2,21,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,227.46,credit,Credit Card Payment,CREDIT CARD,,
2,21,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
2,21,2014,Payment,Payment,684.94,credit,Loan Payment,Direct Sub Stafford Loan,,
2,20,2014,Chevron,0212220 CHEVRON 0212 OREM UT,41.07,debit,Gas & Fuel,Discover :,,
2,20,2014,Ihc Idxautomatic,IHC-IDXAutomatic Debit,11,debit,Doctor,SHARE DRAFT NO MIN,,
2,19,2014,Check 1127,SHARE DRAFT #   1127,615.46,debit,Marc Tithing,SHARE DRAFT NO MIN,,
2,19,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #21914  tithing, 02-19-2014 @ 16:18 Trace #",1000,debit,Transfer,REGULAR SHARE,,
2,19,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #21914  tithing, 02-19-2014 @ 16:18 Trace #",1000,credit,Transfer,Free Checking,,
2,19,2014,Buffalo Wild Wings,BUFFALO WILD WINGS 0426,23.32,debit,Restaurants,CREDIT CARD,,
2,19,2014,Holiday Oil,HOLIDAY OIL #47,2.11,debit,Gas & Fuel,CREDIT CARD,,
2,19,2014,Rockymtn Pacificautomatic,ROCKYMTN/PACIFICAutomatic Debit,29.17,debit,Utilities,SHARE DRAFT NO MIN,,
2,19,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,750.27,debit,Student Loan,SHARE DRAFT NO MIN,,
2,18,2014,Target,TARGET AMERICAN FORKUT,6.07,debit,Shopping,Discover :,,
2,17,2014,Payment,Payment,750,credit,Loan Payment,Direct Sub Stafford Loan,,
2,16,2014,Chipotle,CHIPOTLE 1104,7.17,debit,Fast Food,CREDIT CARD,,
2,16,2014,Wal-Mart,WAL-MART #2511,4.55,debit,Shopping,CREDIT CARD,,
2,16,2014,Smith's Food,SMITHS FOOD #4136,5.76,debit,Groceries,CREDIT CARD,,
2,14,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1050.49,credit,Paycheck,SHARE DRAFT NO MIN,,
2,13,2014,Venmo Cashopayroll Deduction,VENMO                      CASHOPAYROLL DEDUCTION,12.5,credit,Paycheck,SHARE DRAFT NO MIN,,
2,13,2014,Chevron,0203362 CHEVRON 0203 AMERICAN FORKUT,39.92,debit,Gas & Fuel,Discover :,,
2,13,2014,Cinemark,CINEMARK THEATRES 343,25,debit,Movies & DVDs,CREDIT CARD,,
2,12,2014,Bear River Mutuainsurance,Bear River MutuaInsurance paymenAutomatic Debit,22.84,debit,Auto Insurance,SHARE DRAFT NO MIN,,
2,12,2014,Sushi House Llc,SUSHI HOUSE LLC,15.03,debit,Restaurants,CREDIT CARD,,
2,12,2014,Loan Pmtloan Roundpoint,"LOAN PMTLOAN PMT #22841  ROUNDPOINT         LOAN PMT, 02-12-2014 @   : 0 Trace #062001186566110",2354.78,debit,Mortgage & Rent,Free Checking,,
2,12,2014,E Paymente Discover,"E-PAYMENTE-PAYMENT #22841  DISCOVER           E-PAYMENT, 02-12-2014 @   : 0 Trace #091000011326360",407.16,debit,Credit Card Payment,Free Checking,,
2,11,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,369.39,debit,Student Loan,SHARE DRAFT NO MIN,,
2,11,2014,Transfer from Free Checking,INTERNET PAYMENT - THANK YOU,407.16,credit,Credit Card Payment,Discover :,,
2,11,2014,Chevron,CHEVRON 00203362,47.8,debit,Gas & Fuel,CREDIT CARD,,
2,11,2014,IHOP,IHOP 1730     00017301,5,debit,Restaurants,CREDIT CARD,,
2,10,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #21014  mortgage, 02-10-2014 @ 21:47 Trace #",2500,debit,Transfer,REGULAR SHARE,,
2,10,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #21014  mortgage, 02-10-2014 @ 21:47 Trace #",2500,credit,Transfer,Free Checking,,
2,10,2014,Chaseautomatic,CHASEAutomatic Debit,154.58,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
2,10,2014,Questar Gas,Questar Gas Co.  CM-APAY 0000002Automatic Debit,82.99,debit,Utilities,SHARE DRAFT NO MIN,,
2,10,2014,Payrollpayroll Crown H,"PAYROLLPAYROLL #22694  CROWN H.C.         PAYROLL, 02-10-2014 @   : 0 Trace #091000010885320",1644.02,credit,Paycheck,REGULAR SHARE,,
2,10,2014,WinCo Foods,"PIN PurchasePIN Purchase #636905  WINCO FOODS 895 N 980 W            Orem, 02-10-2014 @ 17:44 Trace #021017443700681753 0211",91.43,debit,Groceries,Free Checking,,
2,9,2014,Selecthealth,SELECTHEALTH,91.72,debit,Health Insurance,CREDIT CARD,,
2,8,2014,American Fork Di,AMERICAN FORK DI AMERICAN FORKUT00818R,2.25,debit,Furnishings,Discover :,,
2,8,2014,Fresh Mkt Am,FRESH MKT AM FORK SSS AMERICAN FORKUT,13.76,debit,Groceries,Discover :,,
2,8,2014,Costco,"PIN PurchasePIN Purchase #623072  COSTCO WHSE #0733 198 NORTH 1200 EAST    LEHI, 02-08-2014 @ 18:24 Trace #020818240007335000 0209",116.29,debit,Groceries,Free Checking,,
2,8,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #622137  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 02-08-2014 @ 16:51 Trace #020816515700003404 0209",83.6,credit,Income,Free Checking,,
2,8,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #622130  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 02-08-2014 @ 16:51 Trace #020816512800003403 0209",185.55,credit,Income,Free Checking,,
2,7,2014,Good Earth,GOOD EARTH NATURAL FOO AMERICAN FORKUT,14.99,debit,Restaurants,Discover :,,
2,7,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,154.58,credit,Credit Card Payment,CREDIT CARD,,
2,7,2014,Questar Gas,QuestarGasAutomatic Debit,82.99,debit,Utilities,SHARE DRAFT NO MIN,,
2,7,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
2,7,2014,Payment,Payment,369.39,credit,Loan Payment,Direct Unsub Stafford Loan,,
2,6,2014,Gold's Gym,PAC*GOLD'S GYM,27.78,debit,Gym,CREDIT CARD,,
2,6,2014,Fresh Mkt Am,FRESH MKT AM FORK,9.77,debit,Groceries,CREDIT CARD,,
2,5,2014,UPS,THE UPS STORE #2476 AMERICAN FORKUT00593R,9.76,debit,Shipping,Discover :,,
2,5,2014,Fresh Mkt Am,FRESH MKT AM FORK,18.29,debit,Groceries,CREDIT CARD,,
2,5,2014,Home Depot,THE HOME DEPOT 4417,65.08,debit,Home Improvement,CREDIT CARD,,
2,4,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,1104.31,debit,Student Loan,SHARE DRAFT NO MIN,,
2,3,2014,Home Depot,THE HOME DEPOT 4417,10.66,debit,Home Improvement,CREDIT CARD,,
2,3,2014,Texas Roadhouse,TEXAS ROADHOUSE 2384,15,debit,Restaurants,CREDIT CARD,,
2,3,2014,Transfer to CREDIT CARD,CHASEAutomatic Debit,704.6,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
2,3,2014,Netflix,NETFLIX.COM            NETFLIX.CElectronic Transaction,7.99,debit,Movies & DVDs,SHARE DRAFT NO MIN,,
2,3,2014,Payment,Payment,1104.31,credit,Loan Payment,Direct Unsub Stafford Loan,,
2,2,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,704.6,credit,Credit Card Payment,CREDIT CARD,,
2,2,2014,North Pointe Swssd,NORTH POINTE SWSSD,8,debit,Utilities,CREDIT CARD,,
2,1,2014,Holiday Oil,HOLIDAY OIL #47 AMERICAN FORKUT,38.5,debit,Gas & Fuel,Discover :,,
2,1,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #567139  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 02-01-2014 @ 17:17 Trace #020117174100002345 0202",411.1,credit,Income,REGULAR SHARE,,
2,1,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #567152  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 02-01-2014 @ 17:18 Trace #020117183000002346 0202",800,credit,Income,REGULAR SHARE,,
1,31,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
1,31,2014,Total Bond Mkt Index Inv - Dividend,Total Bond Mkt Index Inv - Dividend,0.66,credit,Dividend & Cap Gains,Vanguard Account,,
1,30,2014,Home Depot,THE HOME DEPOT 4417,704.6,debit,Home Improvement,CREDIT CARD,,
1,27,2014,Remedez Hair Spa,REMEDEZ HAIR SPA OREM UT,120.92,debit,Hair,Discover :,,
1,27,2014,Chaseautomatic,CHASEAutomatic Debit,222.57,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
1,25,2014,Macy's,MACEY'S 8TH NORTH SSS OREM UT,15.88,debit,Clothing,Discover :,,
1,24,2014,Red Robin,RED ROBIN 416 PROVO UT,27.14,debit,Restaurants,Discover :,,
1,24,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,222.57,credit,Credit Card Payment,CREDIT CARD,,
1,24,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
1,24,2014,Payrollpayroll Crown H,"PAYROLLPAYROLL #21922  CROWN H.C.         PAYROLL, 01-24-2014 @   : 0 Trace #091000014162859",1194.37,credit,Paycheck,REGULAR SHARE,,
1,23,2014,Dal Soglio,DAL SOGLIO 66 #2 HOLLADAY UT,38.99,debit,Gas & Fuel,Discover :,,
1,23,2014,Del Taco,DEL TACO #877      Q16,4.42,debit,Fast Food,CREDIT CARD,,
1,23,2014,Check# 1139check# 1139 #1139,Check# 1139Check# 1139 #1139,10,debit,Service Fee,Free Checking,,
1,22,2014,Check 1126,SHARE DRAFT #   1126,344.83,debit,Marc Tithing,SHARE DRAFT NO MIN,,
1,22,2014,Fedloanservicingach Transactionautomatic,FEDLOANSERVICINGACH TRANSACTIONAutomatic Debit,562.92,debit,Student Loan,SHARE DRAFT NO MIN,,
1,22,2014,City,AMERICAN FORK CITY,74.29,debit,Utilities,CREDIT CARD,,
1,22,2014,City,AMERICAN FORK CITY,97.93,debit,Utilities,CREDIT CARD,,
1,21,2014,WinCo Foods,"PIN PurchasePIN Purchase #479592  WINCO FOODS 895 N 980 W            Orem, 01-21-2014 @ 22:06 Trace #012122063700898884 0122",40.32,debit,Groceries,Free Checking,,
1,21,2014,Chaseautomatic,CHASEAutomatic Debit,66.52,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
1,19,2014,Chevron,CHEVRON 00203362,45.93,debit,Gas & Fuel,CREDIT CARD,,
1,17,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,66.52,credit,Credit Card Payment,CREDIT CARD,,
1,17,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #11714  FT Transfer W/D, 01-17-2014 @ 18:43 Trace #",1000,debit,Transfer,REGULAR SHARE,,
1,17,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #11714  FT Transfer Dep, 01-17-2014 @ 18:43 Trace #",1000,credit,Transfer,Free Checking,,
1,17,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
1,17,2014,Payment,Payment,550,credit,Loan Payment,Direct Unsub Stafford Loan,,
1,16,2014,Amazon,AMAZON MKTPLACE PMTS,4.18,debit,Home Improvement,CREDIT CARD,,
1,15,2014,Cafe Rio Orem,CAFE RIO OREM OREM UT,6.74,debit,Restaurants,Discover :,,
1,15,2014,Cp Cp,CP-99999-2354.78CP-99999-2354.78 #21553,18,debit,Service Fee,Free Checking,,
1,15,2014,Loan Pmtloan Roundpoint,"LOAN PMTLOAN PMT #21552  ROUNDPOINT         LOAN PMT, 01-14-2014 @   : 0 Trace #062001182622117",2354.78,debit,Mortgage & Rent,Free Checking,,
1,14,2014,Rockymtn Pacificautomatic,ROCKYMTN/PACIFICAutomatic Debit,77,debit,Utilities,SHARE DRAFT NO MIN,,
1,14,2014,Rockymtn Pacificautomatic,ROCKYMTN/PACIFICAutomatic Debit,52.81,debit,Utilities,SHARE DRAFT NO MIN,,
1,14,2014,Stdnt Loanstdnt Loan 21474 Fedloanservicing Street,"STDNT LOANSTDNT LOAN #21474  FEDLOANSERVICING   STDNT LOAN, 01-14-2014 @   : 0 Trace #041036042097399",4785.21,debit,Student Loan,Free Checking,,
1,13,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #11314  mortgage, 01-13-2014 @ 13:38 Trace #",2000,debit,Transfer,REGULAR SHARE,,
1,13,2014,Check# 1135check# 1135 #1135,Check# 1135Check# 1135 #1135,1177.39,debit,Mortgage & Rent,Free Checking,,
1,13,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #11314  mortgage, 01-13-2014 @ 13:38 Trace #",2000,credit,Transfer,Free Checking,,
1,13,2014,Cinemark,CINEMARK THEATRES 061,6,debit,Movies & DVDs,CREDIT CARD,,
1,13,2014,7-Eleven,7-ELEVEN 17350,38.45,debit,Gas & Fuel,CREDIT CARD,,
1,13,2014,Laser Assault,LASER ASSAULT,16,debit,Amusement,CREDIT CARD,,
1,13,2014,Transfer to CREDIT CARD,CHASEAutomatic Debit,186.47,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
1,13,2014,Internet Transfer Transfer,Internet Transfer Jan 13 2014 0:Transfer to 2696239-00,50,debit,Mobile Phone,SHARE DRAFT NO MIN,,
1,13,2014,Bear River Mutuainsurance,Bear River MutuaInsurance paymenAutomatic Debit,22.84,debit,Auto Insurance,SHARE DRAFT NO MIN,,
1,13,2014,Transfer to Discover :,"E-PAYMENTE-PAYMENT #21406  DISCOVER           E-PAYMENT, 01-13-2014 @   : 0 Trace #091000011398305",406.19,debit,Credit Card Payment,Free Checking,,
1,12,2014,Byu Wall,BYU THE WALL,1.89,debit,Restaurants,CREDIT CARD,,
1,10,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #11014  loans, 01-10-2014 @ 18:34 Trace #",1000,debit,Transfer,REGULAR SHARE,,
1,10,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #11014  FT Transfer W/D, 01-10-2014 @ 18:33 Trace #",500,debit,Transfer,REGULAR SHARE,,
1,10,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #11014  loans, 01-10-2014 @ 18:33 Trace #",3000,debit,Transfer,REGULAR SHARE,,
1,10,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #11014  loans, 01-10-2014 @ 18:33 Trace #",3000,credit,Transfer,Free Checking,,
1,10,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #11014  loans, 01-10-2014 @ 18:34 Trace #",1000,credit,Transfer,Free Checking,,
1,10,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #11014  FT Transfer Dep, 01-10-2014 @ 18:33 Trace #",500,credit,Transfer,Free Checking,,
1,10,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,186.47,credit,Credit Card Payment,CREDIT CARD,,
1,10,2014,Transfer from Free Checking,INTERNET PAYMENT - THANK YOU,406.19,credit,Credit Card Payment,Discover :,,
1,10,2014,Payrollpayroll Crown H,"PAYROLLPAYROLL #21319  CROWN H.C.         PAYROLL, 01-10-2014 @   : 0 Trace #091000014088001",1575.82,credit,Paycheck,REGULAR SHARE,,
1,10,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,448.5,credit,Paycheck,SHARE DRAFT NO MIN,,
1,10,2014,Payment,Payment,783.27,credit,Loan Payment,Direct Sub Stafford Loan,,
1,10,2014,Payment,Payment,2001.83,credit,Loan Payment,Direct Unsub Stafford Loan,,
1,10,2014,Payment,Payment,2000.11,credit,Loan Payment,Federal Unsub Stafford Loan,,
1,9,2014,Questar Gas,"QuestarGasQuestarGas #21263  QuestarGas         QuestarGas, 01-09-2014 @   : 0 Trace #021000024839832",84.07,debit,Utilities,Free Checking,,
1,8,2014,Pizza Factory,PIZZA FACTORY,8.47,debit,Restaurants,CREDIT CARD,,
1,8,2014,Auto Air Vacuum,AUTO AIR & VACUUM SERVICE,1.25,debit,Service & Parts,CREDIT CARD,,
1,8,2014,Auto Air Vacuum,AUTO AIR & VACUUM SERVICE,1.25,debit,Service & Parts,CREDIT CARD,,
1,8,2014,Auto Air Vacuum,AUTO AIR & VACUUM SERVICE,1.25,debit,Service & Parts,CREDIT CARD,,
1,7,2014,Cafe Zupas Provo,CAFE ZUPAS PROVO PROVO UT,5.38,debit,Restaurants,Discover :,,
1,7,2014,Gold's Gym,PAC*GOLD'S GYM,43.81,debit,Gym,CREDIT CARD,,
1,6,2014,Gold's Gym,PAC*GOLD'S GYM 800-748-4949 UTRC4770176,16.03,debit,Gym,Discover :,,
1,6,2014,Chevron,0203362 CHEVRON 0203 AMERICAN FORKUT,31.28,debit,Gas & Fuel,Discover :,,
1,6,2014,Costco,"PIN PurchasePIN Purchase #360057  COSTCO WHSE #0733 198 NORTH 1200 EAST    LEHI, 01-06-2014 @ 17:43 Trace #010617430007338000 0107",79.96,debit,Groceries,Free Checking,,
1,6,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #359659  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 01-06-2014 @ 17:06 Trace #010617061800008392 0107",100,credit,Income,Free Checking,,
1,6,2014,Olive Garden,THE OLIVE GARD00017814,5.5,debit,Restaurants,CREDIT CARD,,
1,6,2014,7-Eleven,7-ELEVEN 36331,2.06,debit,Fast Food,CREDIT CARD,,
1,5,2014,Cafe Rio,CAFE RIO AMERICAN FRK,18.53,debit,Restaurants,CREDIT CARD,,
1,5,2014,Home Depot,THE HOME DEPOT 4417,0.98,debit,Home Improvement,CREDIT CARD,,
1,5,2014,North Pointe Swssd,NORTH POINTE SWSSD,8,debit,Utilities,CREDIT CARD,,
